구분 날짜,제목,게임,등급, 구분,출연자1 이름,출연자1 직업,출연자1 내용,출연자1 사진위치,출연자2 이름,출연자2 직업,출연자2 내용,출연자2 사진위치,출연자3 이름,출연자3 직업,출연자3 내용,출연자3 사진위치,세션소개,세션목차,권장대상,일정추가 링크
Day 1. 8월 25일(월)ㅣ13:10~13:35,에픽게임즈 스토어: 2025년 스토어 및 제품 업데이트,"게임, 프로덕션",초급,없음,"Kyle Billings, Epic Games","Director, Portfolio Strategy and Business Operations","에픽게임즈 스토어의 포트폴리오 전략을 총괄하며, 에픽게임즈 퍼블리싱, 무료 게임 프로그램, 그리고 스토어 콘텐츠 등 전반에 걸쳐 에픽게임즈가 지원하는 다양한 프로그램의 방향을 결정합니다. 내부 주요 팀들과 협업해 우수한 개발자를 발굴 및 지원하고, 지속 가능한 비즈니스 성장을 돕고 있습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kylebillings.png,,,,,,,,,"2025년 1월, 에픽게임즈 스토어는 서드파티 모바일 게임 지원을 포함한 다양한 신규 기능을 도입했으며, 무료 게임 프로그램을 시작하며, PC, Mac, Android, iOS를 아우르는 최초의 진정한 멀티플랫폼 스토어로서의 여정을 시작했습니다. 이 세션에서는 향후 1년간 PC와 모바일을 아우르는 비전, 전략, 로드맵을 공유합니다. PC 전용, 모바일 전용, 크로스플레이 등 파트너들의 성공적인 확장을 위한 방안과 모바일 셀프 퍼블리싱 툴, 모바일 에픽 웹숍&#40;Epic Web Shops&#41;, 오랫동안 기다려온 플레이어 중심의 PC 기능들, 그리고 모든 플랫폼의 플레이어를 하나로 연결할 멀티플랫폼 소셜 에코시스템 등에 대해 다룹니다.

",N/A,에픽게임즈 스토어에 관심 있는 개발자와 퍼블리셔,"https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+1+-+에픽게임즈 스토어: 2025년 스토어 및 제품 업데이트&dates=20250825T131000/20250825T133500&details=Kyle Billings, Epic Games"
Day 1. 8월 25일(월)ㅣ13:35~14:00,언리얼 엔진 5.6으로 모바일 게임 개발하기,"게임, 프로그래밍",고급,없음,"Jack Porter, Epic Games Korea",Engine Mobile Platforms Lead,"1999년 &lt;언리얼 토너먼트&gt; 팀의 일원으로 시작하여 지난 25년 이상 언리얼 엔진 1부터 5까지 다양한 분야에서 기능 개발에 참여해 왔습니다. 현재는 언리얼 엔진 모바일 팀을 이끌며 모바일 플랫폼에서의 언리얼 엔진 지원과 iOS, 안드로이드, 스위치에서 사용되는 언리얼 엔진 모바일 렌더러를 담당하고 있습니다. 한편, 21년째 서울에 거주 중입니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/jackporter.png,,,,,,,,,"이 세션에서는 언리얼 엔진 5.6의 모바일 게임 개발을 위한 새로운 기능과 개선 사항을 살펴봅니다. Android 및 iOS 환경에서의 빌드 및 디버깅을 위한 툴과 워크플로, 그리고 모바일 렌더링 성능 향상에 대해서도 다룰 예정입니다.","• UE 5.6: 모바일 게임 개발을 위한 새로운 워크플로<br>
• UE 5.6: 모바일 렌더링 향상<br>
• 앞으로 추가될 예정인 기능들",언리얼 엔진을 활용해 모바일 게임을 개발하는 개발자,"https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+1+-+언리얼 엔진 5.6에서 모바일 게임 개발하기&dates=20250825T133500/20250825T140000&details=Jack Porter, Epic Games Korea"
Day 1. 8월 25일(월)ㅣ13:10~14:00,UE 5.6과 함께 확 달라진 메타휴먼: 핵심 업데이트 알아보기,"ALL, 디지털 휴먼",초급,없음,"박성제, 에픽게임즈 코리아",테크니컬 아티스트,"에픽게임즈 코리아에서 테크니컬 아티스트로 재직 중이며, 이전에는 &lt;썬온라인&gt;, &lt;리니지3&gt;, &lt;블레이드 & 소울&gt;, &lt;길드워 2&gt;, &lt;블레이드 & 소울 테이블 아레나 VR&gt;, &lt;프로젝트 M&gt; 등 다양한 게임 개발에 참여했습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/pakrsungje.png,,,,,,,,,"이 세션에서는 UE 5.6 출시와 함께 한층 강력해진 메타휴먼의 핵심 업데이트를 자세히 살펴봅니다. 언리얼 엔진에 완전히 통합된 메타휴먼 크리에이터부터, 다양한 디바이스를 지원하는 메타휴먼 애니메이터, 새롭게 추가된 바디 및 의상 시스템, 확장된 사용성까지 폭넓게 소개합니다. 또한 Maya 및 Houdini용 플러그인을 활용해 디지털 휴먼의 풍부한 표정과 헤어를 제작하는 방법도 다룰 예정입니다.","• 언리얼 엔진에 통합된 메타휴먼 크리에이터<br>
• 새로운 파라메트릭 바디 시스템과 의상 에셋<br>
• 웹캠과 스마트폰으로 제작하는 고퀄리티 리얼타임 애니메이션<br>
• 향상된 오디오 기반 애니메이션<br>
• Maya에서 메타휴먼 에디터 사용법<br>
• Houdini에서 그룸 생성 방법","게임, 시네마틱용 디지털 휴먼 캐릭터 아티스트<br>
퍼포먼스 캡처, 애니메이션을 담당하는 애니메이터 <br>
버추얼 프로덕션, 라이브 이벤트에 메타휴먼을 도입하려는 영화 제작자 및 감독<br>
팹에서 메타휴먼 의상, 헤어, 액세서리를 판매하고 싶은 3D 크리에이터","https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+2+-+UE 5.6과 함께 확 달라진 메타휴먼: 핵심 업데이트 알아보기&dates=20250825T131000/20250825T140000&details=박성제, 에픽게임즈 코리아"
Day 1. 8월 25일(월)ㅣ13:10~14:00,나이아가라로 인터랙티브한 파티클 효과 제작해 보기,"게임, 비주얼아트",중급,없음,"김대혁, 에픽게임즈 코리아",테크니컬 아티스트,"에픽게임즈 코리아에서 테크니컬 아티스트로 재직 중이며, 이전에는 유니티와 스마일게이트, 드림익스큐션 등에서 근무했습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kimdaehyeok.jpg,,,,,,,,,"이 세션에서는 나이아가라를 활용해 플레이어 또는 환경과 상호작용하는 인터랙티브한 이펙트가 어떻게 구현되는지를 예제를 통해 단계별로 살펴볼 예정입니다. 캐릭터의 움직임에 반응하는 파티클, 충돌 시 발생하는 반응형 효과 등 실제 사례를 중심으로, 나이아가라로 인터랙티브한 이펙트 제작에 대해 집중적으로 다룰 예정입니다.","• 인터랙티브 파티클 예제<br>
• 인터랙티션 구현을 위한 다양한 기법<br>
• 인터랙티브 파티클 예제 분석","FX 아티스트<br>
테크티컬 아티스트","https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+3+-+나이아가라로 인터랙티브한 파티클 효과 제작해 보기&dates=20250825T131000/20250825T140000&details=김대혁, 에픽게임즈 코리아"
Day 1. 8월 25일(월)ㅣ14:10~15:00,"&lt;더 위쳐 4 언리얼 엔진 5 테크 데모&gt; 속 기술 들여다보기
","ALL, 프로그래밍",고급,없음,"박창현, 에픽게임즈 코리아",디펠로퍼 릴레이션 리드,"에픽게임즈 코리아에서 디벨로퍼 릴레이션 리드로 기술 지원을 담당하고 있습니다. 이전에는 넥슨 레드, 넥슨 GT, 데브시스터즈에서 게임 프로젝트 개발에 참여했습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/parkChanghyun.png,,,,,,,,,"스테이트 오브 언리얼 2025 에서 공개된 &lt;더 위쳐 4 언리얼 엔진 5 테크 데모&gt;는 언리얼 엔진의 다양한 최신 기술을 활용해 제작되었습니다. 이 세션에서는 테크 데모를 통해 구현된 살아 숨쉬는 듯한 세계를 구현하는 데 사용된 다양한 기술들을 소개하고, 언리얼 엔진의 발전 방향을 함께 살펴볼 예정입니다.","• 시각적으로 충실한 높은 밀도의 월드 <br>
• 수많은 캐릭터와 인터랙션  <br>
• 사용자 경험의 퀄리티를 높이는 기술",언리얼 엔진의 최신 기능과 성능 최적화에 관심이 있는 프로그래머/테크니컬 아티스트,"https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+1+-+언리얼 엔진에서 게임의 히치를 다루는 법&dates=20250825T141000/20250825T150000&details=박창현, 에픽게임즈 코리아"
Day 1. 8월 25일(월)ㅣ14:10~15:00,언리얼로 그리는 공연의 미래: 실시간 무대 시뮬레이션,"방송&라이브이벤트, 버추얼프로덕션",초급,없음,"고동욱, 사운드얼라이언스",이사,"사운드얼라이언스 미디어사업부 이사로 재직 중이며 동시에 미디어아트 팀인 이스트허그의 무대영상 디자이너로 활동 중입니다. 뮤지컬 &lt;천 개의 파랑&gt;, &lt;사랑의 불시착&gt;, &lt;비밀의 화원&gt;, &lt;애니&gt;, &lt;종의 기원&gt; 등 다수의 뮤지컬 및 연극 작품에서 무대영상 디자인을 담당했습니다. 최근에는 언리얼 엔진을 활용한 무대 시뮬레이션 시스템 개발에 주력하고 있으며 이러한 시뮬레이션 시스템을 공연 현장에 접목하고 있습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kodongwook.jpg,,,,,,,,,"이 세션에서는 뮤지컬 무대 영상 디자인에 언리얼 엔진을 활용한 사례를 소개합니다. 프로젝션 매핑의 한계를 극복하기 위해 언리얼 엔진 기반의 시뮬레이션을 구현한 과정과, 실제 공연 작품인 &lt;비밀의 화원&gt;과 &lt;천 개의 파랑&gt; 사례를 중심으로 기술적 워크플로를 설명합니다. 또한 LED 스크린과의 통합, 리얼타임 렌더링, 영상 디자인을 위한 최적화 방법 등을 공유하며, 공연예술과 언리얼 엔진 기술의 효과적인 융합 방안을 제시합니다.","• 공연 예술과 기술의 융합: 프로젝션 매핑과 LED 스크린의 현재<br>
• 기존 프로젝션 매핑 기술의 한계와 문제점 분석 <br>
• 언리얼 엔진을 활용한 무대 시뮬레이션 시스템의 구현 방법<br>
• 실제 제작 사례: 뮤지컬 &lt;비밀의 화원&gt;과 &lt;천 개의 파랑&gt;<br>
• 언리얼 엔진 기반 무대영상 제작 워크플로 및 최적화 기법  <br>
• 향후 발전 방향: 리얼타임 렌더링과 인터랙티브 요소의 활용<br>","공연 무대영상 디자인과 프로젝션 매핑에 관심 있는 기술 아티스트 및 디자이너 <br>
언리얼 엔진을 활용한 리얼타임 렌더링 및 시뮬레이션에 관심 있는 개발자 <br>
공연 예술과 기술 융합에 관심이 있는 무대 디자이너 및 영상 제작자<br>
언리얼 엔진을 공연, 전시, 이벤트 등 실감형 콘텐츠 제작에 활용하고자 하는 크리에이터","https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+2+-+언리얼로 그리는 공연의 미래: 실시간 무대 시뮬레이션&dates=20250825T141000/20250825T150000&details=고동욱, 사운드얼라이언스"
Day 1. 8월 25일(월)ㅣ14:10~15:00,뮤터블 플러그인: 게임용 메타휴먼 커스터마이징 시스템 제작,"게임, 비주얼아트",중급,없음,"김태철, 에픽게임즈 코리아",테크니컬 아티스트,"에픽게임즈 코리아에서 테크니컬 아티스트 및 사업 개발 업무를 맡고 있으며 이전에는 &lt;프로젝트 LLL&gt;, &lt; 블레이드 & 소울&gt;과 그 외 다양한 PC, MMO, 모바일 및 VR 게임 프로젝트에서 언리얼 엔진 테크니컬 아티스트로 활동했습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kimtaechul.png,,,,,,,,,"뮤터블 플러그인은 유연하고 최적화된 캐릭터 커스터마이징 시스템을 제공합니다. 이 세션에서는 메타휴먼의 외형 커스터마이징을 뮤터블로 적용하는 방법을 통해, 런타임 캐릭터 파이프라인을 구성하고 최적화하는 다양한 방법들을 살펴봅니다.","• 뮤터블 이해하기<br>
• 메타휴먼 의상 리소스 세팅<br>
• 커스터마이징 가능한 오브젝트 제작<br>
• 런타임 커스터마이징 적용<br>
• 문제 해결 및 실전 팁",뮤터블과 메타휴먼을 이용하여 직접 커스터마이징 시스템을 제작해 보고 싶은 아티스트 및 기획자,"https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+3+-+뮤터블 플러그인: 게임용 메타휴먼 커스터마이징 시스템 제작&dates=20250825T141000/20250825T150000&details=김태철, 에픽게임즈 코리아"
Day 1. 8월 25일(월)ㅣ15:30~16:20,일본 사례로 보는 UE5 그래픽 심층 인사이트,"ALL, 프로그래밍, 비주얼아트",중급,없음,"Noriaki Shinoyama, Epic Games Japan ",Customer Success Director,"2015년에 Epic Games Japan에 서포트 엔지니어로 입사하여, 현재는 기술 지원 및 관련 업무를 총괄하는 디렉터로 재직 중입니다. 이전에는 Sony Computer Entertainment&#40;현 Sony Interactive Entertainment&#41;에서 그래픽 R&D 및 개발 지원의 역할을 수행했습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/noriakishinoyama.jpg,,,,,,,,,"에픽게임즈 재팬이 일본 개발사들을 지원하면서 실제로 많은 모범 사례들이 일반적인 사례와 다르다는 점을 확인할 수 있었고, 그 과정에서 얻은 언리얼 엔진 5의 고급 그래픽과 관련된 인사이트를 공유합니다. 이 세션에서는 모든 오브젝트를 나나이트로 구현해야 하는지, 모든 텍스처를 버추얼 텍스처로 처리해야 하는지, 루멘의 이미시브 라이팅은 실용적인지, 최적의 섀도 설정은 어떻게 판단해야 하는지 등의 질문을 중심으로 다룹니다.","• 루멘의 성능 부하 프로파일링 방법 및 세부 설정 방법<br>
• 나나이트의 메커니즘 및 세부 설정 조정 방법<br>
• 버추얼 텍스처 및 버추얼 섀도 맵 사용 시 유의사항, 최신 업데이트, 설정 방법<br>
• 템포럴 슈퍼 해상도&#40;TSR&#41; 사용 시 유의사항 및 최신 업데이트 공유





",최신 UE5 기술을 활용해 콘솔 및 고사양 PC용 게임을 개발하고자 하는 엔지니어 및 테크니컬 아티스트,"https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+1+-+일본 사례로 보는 UE5 그래픽 심층 인사이트&dates=20250825T153000/20250825T162000&details=Noriaki Shinoyama, Epic Games Japan "
Day 1. 8월 25일(월)ㅣ15:30~16:20,"더 사실적이게, 더 자연스럽게, 하지만 더 빠르게: &lt;컨트롤 릭 피직스&gt;로 절차적 애니메이션 제작하기","게임, 애니메이션, 비주얼아트",중급,없음,"권오찬, 에픽게임즈 코리아",시니어 에반젤리스트,"에픽게임즈 코리아의 시니어 에반젤리스트로서 다양한 산업에서 언리얼 엔진의 도입을 지원하고 있습니다. 이전에는 다수의 액션 기반 프로젝트에서 AD, TA, PD로 게임을 개발했고 여러 대학교와 교육기관에서 게임 개발 강의 및 멘토링도 진행해 왔습니다.",https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kwonohchan.jpg,,,,,,,,,"피직스 시뮬레이션을 통한 절차적 애니메이션은 리얼타임 콘텐츠는 물론, 이제는 리니어 콘텐츠 제작에서도 더 자연스럽고 사실적인 애니메이션을 더 빠르게 구현하기 위한 핵심 요소가 되고 있습니다. 이 세션에서는 언리얼 엔진 5.6 에 도입된 &lt;컨트롤 릭 피직스&gt;를 소개하고 간단한 세컨더리 애니메이션 설정부터 키 애니메이션에 피직스 애니메이션을 적용하는 방법까지 살펴보겠습니다.","• 컨트롤 릭 피직스 소개<br>
• 세컨더리 애니메이션 제작하기<br>
• 절차적 로코모션 제작하기<br>
• 탈것에 탑승 중인 애니메이션 제작하기<br>
• 언리얼 엔진 애니메이션의 미래","애니메이션 작업의 효율을 높이고 싶은 애니메이터<br>
절차적 애니메이션에 관심 있는 테크니컬 아티스트<br>
언리얼 엔진의 애니메이션 발전 방향에 관심있는 모든 분","https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+2+-+더 사실적이게, 더 자연스럽게, 하지만 더 빠르게: <컨트롤 릭 피직스>로 절차적 애니메이션 제작하기&dates=20250825T153000/20250825T162000&details=권오찬, 에픽게임즈 코리아"
Day 1. 8월 25일(월)ㅣ15:30~16:20,아티스트가 엔진 수정 없이 커스텀 렌더링 패스 추가하기,"게임, 프로그래밍, 비주얼아트",중급,없음,"김진홍, 컴투스",테크니컬 아티스트,컴투스 TA실에서 테크니컬 아티스트로 재직 중이며 사내 프로젝트들의 테크니컬 이슈에 대응하고 있습니다. 이전에는 원더피플에서 &lt;슈퍼피플&gt; 개발에 참여하는 등 다년간의 언리얼 엔진 사용 경험이 있습니다.,https://unrealsummit16.cafe24.com/2025/ufest25/speaker/kimjinhong.png,,,,,,,,,"이 세션에서는 SceneViewExtension을 활용해 엔진 수정 없이 자신만의 렌더링 패스를 추가하는 방법을 공유합니다. 그 과정에서 SceneViewExtension의 적절한 활용, 렌더 종속성 그래프&#40;RDG&#41;에 대한 개략적인 설명, 글로벌 셰이더 작성에 대한 지식을 전달하며, 실제 제작 과정에서 겪은 어려움과 그 대응책도 소개합니다.","• 커스텀 렌더링 패스 플러그인 구현<br>
• 구현에 필요한 지식 채우기<br>
• 글로벌 셰이더의 제작 예시","C++에 막 관심을 가지기 시작한 테크니컬 아티스트<br>
커스텀 렌더링 패스를 추가하고자 하는 엔진 및 그래픽스 프로그래머","https://calendar.google.com/calendar/u/0/r/eventedit?text=언리얼페스트+서울+2025-+Day+1+TRACK+3+-+아티스트가 엔진 수정 없이 커스텀 렌더링 패스 추가하기&dates=20250825T153000/20250825T162000&details=김진홍, Com2uS"
